class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;spore-print-color;habitat;season
e;12.52;f;;b;f;d;c;y;2.62;15.83;;;w;;;f;f;;d;w
p;1.37;b;h;n;f;a;;n;4.23;1.47;;t;n;;;f;f;;h;s
e;8.23;x;;n;t;p;;g;12.07;25.1;;y;w;;;f;f;;d;u
p;18.84;s;k;w;t;d;d;n;6.03;30.36;;;w;;;f;f;;d;a
e;7.75;s;s;o;f;d;d;b;7.27;13.09;;;w;;;f;f;;d;w
p;4.12;b;y;n;f;;c;u;5.92;4.57;s;s;w;;;f;f;;d;a
p;9.52;x;;n;f;x;c;w;11.05;10.61;r;i;w;;;f;f;;h;a
p;6.01;x;s;e;f;e;;k;8.4;7.83;;;o;;;f;f;;g;u
e;5.94;s;d;b;f;d;d;o;6.0;12.78;;;w;;;f;f;;d;a
e;7.61;f;;w;f;d;c;w;2.41;12.61;;;w;;;f;f;;d;w
p;3.88;b;h;l;f;s;c;g;5.34;6.92;;y;w;;;t;e;u;m;a
p;7.94;x;y;w;t;;;p;7.1;12.37;s;;w;;;t;l;;g;u
e;5.26;x;t;y;f;p;;y;6.86;13.3;;;y;;y;t;;;d;a
e;5.89;f;s;o;f;d;d;o;6.0;12.61;;;w;;;f;f;;g;w
p;5.88;b;y;n;f;;;k;9.64;12.87;;s;w;;;t;z;;g;s
p;7.64;f;w;p;f;s;c;p;4.02;8.5;;;p;;;f;f;;d;a
p;10.79;x;t;n;f;a;d;w;11.66;29.13;;;w;;;f;f;;d;u
e;6.42;b;h;k;f;s;d;g;5.71;10.25;;s;g;;;f;f;;d;a
p;2.9;o;;g;f;f;f;f;2.7;13.31;;g;g;;;f;f;;d;u
e;5.3;o;l;n;f;f;f;f;6.97;64.21;;;n;;;f;f;g;l;w
p;3.96;o;s;y;f;f;f;f;0.0;0.0;f;f;f;;;t;f;;d;w
e;11.88;s;t;p;t;d;c;o;5.56;17.01;;;w;;;f;f;;d;u
e;1.45;c;g;n;f;a;;w;5.24;1.55;;;g;;;f;f;;d;u
e;12.34;f;;n;t;;;w;12.52;20.09;b;;w;u;w;t;g;;d;a
e;8.82;p;y;n;t;e;;p;8.82;17.76;;y;w;;;t;l;;l;a
e;15.16;s;e;g;f;a;c;w;8.33;25.21;s;;w;;;f;f;;d;a
e;8.84;f;;p;f;x;c;w;8.7;19.41;;s;w;;;f;f;;d;u
p;2.64;s;w;n;t;d;c;n;3.22;5.42;;;n;;;f;f;;d;a
p;12.89;x;t;r;t;d;c;n;6.16;17.19;;;n;;;f;f;;h;a
e;12.06;s;;w;t;d;c;y;5.7;24.88;;;w;;;f;f;;d;u
e;8.65;x;;y;f;a;c;w;6.09;16.53;;;g;;;f;f;;d;w
p;2.16;f;i;l;f;a;;p;4.58;2.56;;;w;;;f;f;p;g;a
p;3.64;o;;w;f;f;f;f;5.29;28.29;;g;w;;;t;f;;d;u
e;3.81;f;d;u;t;d;c;p;4.78;6.19;;;g;;;f;f;;d;u
p;4.08;b;h;n;f;;;k;11.92;6.55;;;w;;;t;;k;g;u
e;6.39;x;;g;t;p;;g;10.02;22.7;;y;w;;;f;f;;d;a
p;2.86;f;s;w;f;d;c;w;2.68;7.06;;;w;;;f;f;;g;u
e;12.1;s;;w;t;d;c;p;6.19;25.2;;;w;;;f;f;;d;u
p;5.38;f;t;n;f;x;;w;15.38;8.71;r;g;n;;;f;f;;d;u
e;7.88;f;s;w;f;s;c;w;6.61;26.45;;;w;;;f;f;;d;s
p;5.04;x;;p;f;;c;w;2.97;12.35;;;y;;;f;f;;d;a
p;17.49;f;g;e;f;p;;y;4.28;34.27;;;n;;;f;f;;d;w
e;4.42;x;;n;f;x;c;w;8.12;7.99;b;;w;;w;t;;;d;a
p;3.07;x;;e;f;x;;w;4.97;6.15;;;w;;;f;f;;d;a
p;6.37;x;t;n;f;s;;n;5.73;8.09;;y;n;;;f;f;;d;w
e;7.09;f;y;n;f;e;c;p;4.95;13.6;;;w;;;t;r;;w;a
p;3.44;f;y;p;f;e;c;w;4.51;3.73;;k;w;;;t;e;;m;u
p;1.4;x;s;y;f;f;f;f;3.51;5.68;;;y;;;f;f;;d;u
p;6.73;x;y;n;f;a;c;y;9.29;7.99;;y;y;;;t;;;d;a
p;6.11;c;k;w;t;x;c;p;6.84;13.26;;;w;;;f;f;;d;u
p;4.44;f;;y;f;x;;w;4.73;6.37;;;w;;;f;f;;d;u
e;5.26;b;h;g;f;s;d;g;4.12;8.47;;s;g;;;f;f;;d;u
e;6.02;c;h;n;f;e;;w;12.12;12.3;;s;w;u;w;f;f;;d;u
p;3.97;b;t;n;f;x;c;p;6.73;4.48;;i;n;;;f;f;;m;a
e;5.5;f;s;n;f;s;c;w;6.44;10.14;b;i;w;;;f;f;;d;u
p;0.98;x;g;w;f;a;d;w;2.78;1.41;;;n;;;f;f;;d;u
p;8.16;x;i;n;f;a;c;n;7.52;7.38;;i;n;;k;t;z;k;d;a
e;3.0;b;y;n;f;;c;n;6.6;2.99;;;w;;;f;f;;d;s
p;9.24;s;;y;t;d;;o;5.01;12.81;;;w;;;t;f;;d;u
e;7.34;x;s;k;f;a;c;w;4.41;16.31;;;w;;;f;f;;d;a
e;17.39;f;y;w;f;;;w;24.06;19.08;s;;n;;;t;m;;m;u
p;4.64;s;;u;f;a;;w;5.13;8.07;;;y;;;f;f;;d;u
e;4.12;x;s;n;f;p;;n;5.95;13.06;;;e;;;f;f;;d;a
p;2.58;o;;g;f;f;f;f;3.28;14.87;;g;n;;;f;f;;d;u
e;13.7;x;e;n;t;e;;w;9.82;17.58;;;w;;;t;;;d;u
e;3.94;x;s;w;f;d;d;w;3.55;5.98;;;w;;;f;f;;m;w
p;3.54;o;s;o;f;f;f;f;0.0;0.0;f;f;f;;;t;f;;d;a
p;5.78;b;y;g;f;;;g;9.36;12.4;;s;w;;;t;z;;d;s
e;10.97;s;;n;f;;;w;4.69;22.3;;;n;;;f;f;;d;u
e;5.62;s;;n;f;d;c;w;4.75;7.39;;s;w;;;f;f;;l;u
e;5.65;f;d;b;f;d;d;b;5.1;11.86;;;w;;;f;f;;d;a
p;1.6;x;g;y;f;d;d;n;2.85;2.92;;s;n;;;f;f;;h;u
e;1.43;c;g;n;f;a;;g;5.43;1.59;;;g;;;f;f;;d;u
e;2.6;b;y;n;f;;c;k;6.59;3.43;;;w;;;f;f;;d;s
e;9.45;f;;n;t;;;w;11.62;16.24;b;;w;u;w;t;g;;d;u
e;21.97;p;w;n;f;p;;w;19.88;84.78;;;n;;;f;f;;d;a
e;6.91;s;;n;f;d;c;w;5.6;8.32;;s;w;;;f;f;;d;u
p;1.79;b;;g;f;a;;g;5.26;1.93;;s;n;;;f;f;;d;u
e;2.56;x;s;w;f;d;d;w;3.29;6.0;;;w;;;f;f;;g;a
e;2.93;x;h;e;f;a;c;e;3.86;6.01;;;o;;;f;f;;m;w
p;3.46;f;;y;f;x;;w;4.37;6.35;;;w;;;f;f;;d;u
e;6.35;f;w;y;f;f;f;f;4.63;11.3;;;y;;;f;f;;d;u
p;11.73;x;t;n;t;d;c;n;4.11;22.88;;;g;;;f;f;;d;u
p;9.92;x;e;n;f;a;;n;14.81;18.91;s;;n;;n;f;f;;h;a
p;1.86;p;t;n;f;a;c;g;5.47;2.38;;t;y;;;t;e;;m;u
p;11.44;x;e;n;t;p;;y;7.79;25.22;c;;y;;;f;f;;d;a
p;3.33;b;w;y;f;a;;y;5.41;6.2;;t;y;;;f;f;;m;u
p;3.59;x;t;o;f;a;c;n;4.07;5.85;;y;n;;;t;z;;d;w
e;6.75;o;;n;f;f;f;f;7.04;22.77;;;n;;;f;f;;l;s
e;21.58;p;d;n;f;p;;w;16.66;35.08;s;y;w;;;f;f;;d;a
e;10.34;f;s;n;f;s;c;w;7.22;11.83;b;i;n;;;f;f;;d;u
p;4.34;x;;p;f;;c;g;3.63;12.22;;;y;;;f;f;;d;a
p;13.17;f;;g;f;e;;w;11.03;15.58;;;w;u;w;t;g;;d;a
p;0.83;x;g;p;f;a;;p;4.06;0.96;;h;k;;;f;f;;d;u
e;7.38;f;g;o;f;s;;n;8.73;11.34;;t;o;;;f;f;;d;a
e;2.46;s;y;n;f;d;d;p;6.4;2.81;;i;n;;;f;f;;l;u
p;2.25;s;w;n;t;d;c;n;3.02;5.12;;;n;;;f;f;;d;a
e;9.67;f;;g;f;d;c;y;2.23;14.33;;;w;;;f;f;;d;w
e;7.57;x;h;n;f;p;d;y;4.33;11.82;;s;n;;;f;f;;h;u
e;1.3;x;t;y;f;d;;w;5.65;1.75;;t;y;;;f;f;;g;a
p;2.54;o;;g;f;f;f;f;3.41;14.79;;g;n;;;f;f;;d;u
p;10.54;x;t;n;f;a;d;w;12.13;33.39;;;w;;;f;f;;d;u
p;0.8;x;;o;f;d;;o;5.45;1.07;;;y;;;f;f;w;g;a
p;8.05;p;g;n;f;e;;w;8.66;16.12;;y;w;u;w;t;p;;d;u
p;17.95;f;k;n;f;d;c;y;5.88;38.12;;k;n;;;f;f;;d;u
e;6.43;x;d;y;t;p;;y;7.65;13.5;;;y;;;f;f;;d;a
e;3.22;f;g;n;f;a;d;g;4.09;3.32;;s;n;;;f;f;;d;u
e;7.26;x;s;y;f;d;d;w;8.17;13.8;;i;n;;;t;;w;d;u
p;5.09;x;h;o;f;a;c;y;6.17;8.57;;g;o;;;f;f;;g;a
p;1.4;b;h;n;f;a;;n;4.13;1.34;;t;n;;;f;f;;d;a
p;7.75;f;;y;f;x;c;y;6.9;13.92;;;w;;;f;f;;d;a
e;9.43;f;y;y;f;;;w;8.2;26.06;b;;n;;w;t;e;;d;a
e;3.56;x;h;n;f;;c;n;6.05;6.92;;s;w;;w;f;f;k;d;a
p;7.83;f;h;r;f;;c;w;10.43;14.1;;;w;u;w;t;g;;d;u
p;4.91;s;k;y;f;p;;n;3.92;5.8;;k;n;;;t;f;;d;u
p;1.76;o;k;n;f;;;n;5.51;1.67;;;n;;;f;f;;d;w
e;6.74;f;s;n;f;s;c;w;6.55;10.63;b;i;n;;;f;f;;m;u
p;9.04;o;;n;f;f;f;f;2.78;21.63;;g;n;;;f;f;;d;u
p;7.28;x;h;e;f;x;d;w;6.16;17.06;b;;w;;;f;f;;d;u
p;3.74;f;;n;f;x;c;p;8.85;4.45;;;n;;;f;f;;d;a
e;18.22;s;s;n;f;a;d;y;7.71;23.39;;;w;;;f;f;w;d;w
p;0.61;x;g;y;f;;;y;3.39;0.75;;;y;;;f;f;;d;a
e;9.73;x;t;n;t;p;;y;9.91;22.65;;;n;;;f;f;;d;u
p;3.84;f;;n;f;x;c;p;8.16;4.15;;;n;;;f;f;;l;a
e;5.57;s;l;n;f;f;f;f;6.35;41.27;;;n;;;f;f;g;l;a
p;13.17;f;;g;f;e;;w;11.27;16.99;;;w;u;w;t;e;;d;u
e;9.57;x;y;n;t;e;;p;8.98;17.37;;y;w;;;t;p;;l;a
p;7.45;s;d;n;t;d;c;w;6.1;8.77;;;n;;;f;f;;d;a
e;7.69;f;;l;f;s;c;u;6.59;19.52;;;u;;;f;f;;l;w
e;2.81;s;;y;f;f;f;f;6.17;6.68;;;y;;;f;f;;d;a
e;7.05;x;d;e;t;p;;y;4.54;11.63;;;y;;;f;f;;d;u
p;7.59;x;i;n;f;a;c;n;8.23;8.06;;i;n;;k;t;z;k;d;a
e;3.88;f;t;n;f;d;;o;6.17;7.51;;t;w;;;f;f;;d;a
p;2.83;x;d;w;f;d;d;w;3.32;2.63;;h;w;;;f;f;;g;u
e;3.91;x;t;o;f;a;d;y;6.55;4.43;;s;n;;;f;f;;d;s
e;12.0;s;;w;t;d;c;w;6.21;24.78;;;w;;;f;f;;d;a
p;10.09;x;i;n;f;a;;n;12.2;15.64;s;;n;;e;f;f;;h;a
p;8.26;x;;n;f;x;c;w;9.57;11.8;r;i;w;;;f;f;;h;a
p;7.32;x;i;n;f;a;;n;8.89;12.24;s;;n;;e;f;f;;d;a
e;7.82;x;l;w;f;d;;w;3.52;9.42;;;w;;;f;f;;d;a
p;7.14;b;t;w;f;e;c;w;12.89;13.42;;y;w;u;w;t;l;;d;a
e;6.32;s;;n;f;d;c;w;6.2;8.25;;s;w;;;f;f;;h;u
e;3.07;x;;b;f;;d;u;6.4;4.29;;;w;;;f;f;;d;a
p;2.91;s;w;o;t;d;c;n;3.31;5.38;;;n;;;f;f;;d;a
e;11.15;s;;w;t;d;c;w;5.74;24.06;;;w;;;f;f;;d;u
p;7.46;x;h;e;f;x;;w;13.79;6.93;r;g;n;;;f;f;;d;a
p;7.31;x;y;w;t;;;g;5.7;11.19;s;;w;;;t;l;;d;u
e;54.27;o;y;y;f;p;;y;7.14;44.18;;k;k;;;f;f;;d;s
p;3.35;f;d;p;f;a;;r;4.92;6.11;;t;y;;;f;f;;m;u
p;24.19;s;k;w;t;d;d;w;8.22;31.64;;;w;;;f;f;;d;w
e;2.43;x;h;n;f;;c;n;5.53;6.58;;s;w;;w;f;f;k;d;u
e;9.33;f;y;y;f;;;w;5.68;22.44;b;;n;;w;t;e;;d;a
p;3.18;b;y;e;f;e;c;w;3.96;3.48;;k;w;;;t;e;;d;u
p;3.18;b;t;p;f;a;;y;4.84;4.97;;t;y;;;f;f;;d;a
e;10.24;f;;n;t;;;w;10.23;14.39;b;;w;u;w;t;g;;d;a
e;13.61;x;e;n;t;e;;w;9.82;17.78;;;w;;;t;;;g;u
e;7.52;x;;p;f;x;c;w;6.51;15.89;;s;w;;;f;f;;d;a
p;19.4;s;k;w;t;d;d;n;8.06;35.53;;;w;;;f;f;;d;w
e;6.39;s;l;w;f;d;;p;3.38;8.91;;;w;;;f;f;;d;u
p;10.76;x;;g;f;e;;w;11.03;12.81;;;w;u;w;t;e;;d;a
p;7.89;s;t;p;t;d;c;p;6.78;11.49;;;p;;;t;f;;d;u
p;12.13;x;i;o;f;a;;y;9.75;22.47;r;;y;;;t;r;n;d;u
p;15.67;f;s;n;f;d;c;y;5.89;37.39;;k;n;;;f;f;;d;u
e;2.51;f;h;n;f;;c;k;5.24;5.56;;s;w;;w;f;f;k;d;a
p;11.36;x;d;y;f;a;;o;11.49;25.25;r;;o;;;t;r;n;d;a
p;11.42;x;i;o;f;a;;y;8.62;21.97;r;;y;;;t;r;n;d;w
p;1.24;b;t;n;f;;c;k;4.02;2.67;;;n;;;t;f;;m;u
e;5.33;b;h;k;f;s;d;w;4.22;9.1;;s;g;;;f;f;;d;u
e;6.46;x;;g;t;p;;g;12.58;26.17;;y;w;;;f;f;;d;a
p;10.19;x;;w;f;x;c;w;9.96;12.91;r;i;w;;;f;f;;h;u
p;5.36;c;i;y;f;;c;r;5.83;6.75;;;w;;;f;f;;d;u
p;10.51;x;e;n;t;p;;o;9.37;28.68;;;u;;;f;f;;d;u
p;6.14;s;;n;t;d;c;p;7.31;6.92;;;e;;;f;f;;d;u
e;4.12;x;;y;f;a;c;o;4.37;9.71;;;w;;;f;f;;d;a
e;4.2;x;;y;f;a;c;y;2.57;7.14;;;w;;;f;f;;d;u
e;9.29;x;t;n;t;p;;y;6.76;21.33;;;n;;;f;f;;d;u
p;3.14;s;d;w;f;a;d;p;4.08;2.69;;h;w;;;f;f;;g;u
e;1.07;x;g;e;t;a;;p;5.9;1.06;;;n;;;f;f;;h;u
p;2.71;o;;k;f;f;f;f;3.19;14.33;;g;n;;;f;f;;d;u
p;4.88;x;k;n;f;d;c;n;4.83;5.64;;i;n;;;t;;;d;a
e;11.58;f;;n;t;;;w;13.1;21.19;b;;w;u;w;t;g;;d;u
e;2.22;f;y;n;f;a;d;p;5.57;3.87;;i;n;;;f;f;;h;u
p;3.28;b;;k;f;a;;k;8.92;2.67;;;g;;w;f;f;k;g;u
p;13.47;f;;n;f;e;;w;11.24;14.16;;;w;u;w;t;e;;d;a
e;6.47;x;h;n;f;e;;w;12.43;12.46;;s;w;u;w;f;f;;d;u
e;6.33;x;t;n;f;a;d;n;6.27;5.0;;t;g;;;t;l;;d;u
p;1.28;o;k;n;f;;;n;4.09;1.56;;;n;;;f;f;;d;w
e;5.8;f;s;n;f;x;c;w;7.36;10.14;;s;n;;;f;f;;l;w
p;4.16;f;y;w;f;e;c;w;4.85;3.46;;k;w;;;t;e;;d;a
p;9.71;p;;n;f;p;;p;11.64;31.59;c;;n;;;f;f;w;d;u
p;9.31;o;;e;f;f;f;f;3.3;23.43;;g;n;;;f;f;;d;u
p;3.69;x;k;n;f;s;;p;3.43;2.54;;;n;;;f;f;p;g;u
e;13.21;x;e;l;f;x;c;w;8.32;23.72;;;w;;;f;f;;d;a
p;3.33;f;t;p;f;a;;r;4.8;6.51;;t;y;;;f;f;;d;u
p;6.89;f;h;n;f;x;;w;15.4;7.95;r;g;n;;;f;f;;d;u
e;4.24;x;s;o;f;p;;n;5.2;10.14;;;n;;;f;f;;d;a
p;3.33;o;;w;f;f;f;f;4.39;26.77;;g;w;;;t;f;;p;a
p;5.85;s;d;e;t;d;c;w;6.76;9.42;;;n;;;f;f;;d;a
p;12.46;x;e;y;t;p;;o;9.2;33.07;;;u;;;f;f;;d;u
e;3.58;x;;n;f;x;c;w;7.69;6.7;b;;w;;w;t;;;d;u
e;3.11;b;y;n;f;;c;k;6.21;3.07;;;w;;;f;f;;d;u
p;4.58;x;e;e;f;a;;n;7.24;9.67;;;y;;w;t;z;;d;a
e;9.75;f;y;w;f;e;c;w;22.18;12.62;;s;w;;;t;e;;u;u
p;3.48;x;t;n;f;a;c;n;3.27;4.99;;y;n;;;t;z;;d;a
p;2.83;x;s;y;f;;c;k;6.72;6.26;;;y;u;w;t;z;r;d;s
p;2.76;x;g;n;f;a;;w;7.92;2.64;;;w;;;f;f;;d;u
p;7.77;o;;n;f;f;f;f;2.4;22.62;;g;n;;;f;f;;d;u
e;6.01;x;w;y;f;f;f;f;4.85;13.79;;;y;;;f;f;;d;u
p;5.02;x;h;l;f;s;c;n;6.7;8.17;;y;n;;;t;e;u;d;u
p;13.66;x;h;o;f;e;;w;16.81;16.98;s;y;w;u;w;t;g;;d;u
e;4.25;f;t;n;f;d;;o;6.21;7.85;;t;w;;;f;f;;d;w
p;3.3;b;;k;f;a;;n;10.1;2.51;;;n;;w;f;f;k;g;a
e;46.33;o;y;y;f;p;;y;5.51;14.52;;k;k;;;f;f;;d;u
e;4.15;f;;n;f;x;c;n;6.86;4.23;;;w;;;f;f;;d;a
e;6.86;p;y;w;f;e;c;p;5.27;12.63;;;w;;w;t;e;;m;u
p;3.27;x;h;o;f;a;c;n;4.45;5.23;;y;n;;;t;z;;d;w
e;5.96;p;y;w;f;e;c;n;4.03;11.95;;;w;;w;t;e;;g;u
p;3.84;x;y;y;f;a;;w;5.4;3.44;;y;n;;;t;r;;g;u
e;15.83;p;s;n;t;e;;n;9.9;18.23;s;;w;;;t;l;;m;u
e;1.79;c;g;n;f;a;;g;5.5;1.74;;;g;;;f;f;;d;u
e;10.07;s;;u;f;s;c;u;8.68;20.46;;;b;;;f;f;;d;a
e;6.58;s;;n;f;d;c;w;4.2;7.27;;s;w;;;f;f;;l;a
e;7.62;x;s;n;f;e;c;p;7.63;11.05;;i;w;;;f;f;p;d;w
p;1.29;b;t;y;f;;c;g;3.66;2.77;;;n;;;t;f;;g;a
p;3.5;f;w;u;f;a;c;g;5.56;5.01;;s;u;;;f;f;;l;u
e;3.35;s;;y;f;f;f;f;6.3;7.1;;;y;;;f;f;;d;a
p;5.64;f;;y;f;s;d;y;4.97;12.32;;i;y;;;f;f;;d;a
p;7.77;x;y;w;t;;;p;8.32;13.97;s;;w;;;t;l;;d;a
e;4.03;x;d;n;f;p;;n;5.58;11.99;;;n;;;f;f;;d;a
e;4.34;x;;y;f;a;c;y;4.36;10.17;;;w;;;f;f;;d;a
p;1.41;o;k;n;f;;;n;3.37;1.62;;;n;;;f;f;;d;s
e;2.87;f;s;w;f;d;d;w;2.72;5.76;;;w;;;f;f;;g;w
p;4.8;x;;y;f;x;;w;5.84;6.61;;;w;;;f;f;;d;u
e;5.64;x;t;o;f;a;d;y;7.0;5.24;;k;o;;;f;f;;d;s
p;3.28;f;d;b;f;x;c;y;4.27;2.89;b;i;n;;;f;f;;l;a
p;3.22;x;i;e;f;;;e;4.17;5.05;;;e;;;f;f;n;d;a
e;4.9;x;;w;f;e;;w;5.76;12.55;b;;y;u;y;t;g;;d;a
e;4.11;x;;r;f;d;;r;6.08;8.1;;;l;;;f;f;;l;u
p;19.46;s;k;n;f;d;c;y;5.83;36.67;;k;k;;;f;f;;d;a
e;8.46;x;;w;f;e;;w;6.13;14.19;b;;w;u;y;t;g;;d;a
p;0.88;x;g;w;f;a;d;w;3.19;1.41;;;n;;;f;f;;d;a
e;7.95;x;t;n;f;p;d;y;7.38;13.02;;s;n;;;f;f;;d;a
p;6.91;x;g;n;f;e;;w;8.12;14.63;;y;w;u;w;t;p;;d;u
p;2.19;c;t;n;f;;;n;8.08;3.03;;;y;;;f;f;;g;u
e;9.76;f;;w;f;d;c;w;2.26;11.97;;;w;;;f;f;;d;w
p;12.82;s;t;r;t;d;c;n;5.31;26.04;;;g;;;f;f;;g;u
p;8.78;s;h;n;t;d;;w;4.81;14.01;;t;n;;;f;f;;d;a
e;6.92;f;g;o;f;s;;n;9.22;12.47;;t;n;;;f;f;;d;a
p;3.34;f;;u;f;a;;w;3.65;6.3;;;w;;;f;f;;d;a
e;7.68;f;;n;t;;;w;10.07;15.26;b;;w;u;w;t;g;;d;a
e;2.16;f;y;n;f;d;d;p;7.34;3.21;;i;n;;;f;f;;h;u
e;2.62;b;y;n;f;;c;k;6.04;2.84;;;w;;;f;f;;d;u
e;2.62;x;s;w;f;d;d;w;3.53;6.13;;;w;;;f;f;;g;w
e;5.29;x;;w;f;a;;r;6.01;6.83;;;l;;;f;f;;l;a
p;3.03;x;i;e;f;;;e;4.39;5.82;;;e;;;f;f;n;d;a
p;6.78;f;h;e;f;x;;w;15.88;7.81;r;g;n;;;f;f;;d;a
e;13.31;f;s;w;t;e;;n;9.85;16.74;s;;w;;;t;r;;m;a
p;9.27;f;;w;f;x;c;w;10.93;11.62;r;i;w;;;f;f;;h;u
p;5.04;o;s;o;f;f;f;f;0.0;0.0;f;f;f;;;t;f;;d;s
p;0.74;x;;o;f;d;;o;4.43;0.97;;;o;;;f;f;w;g;a
p;8.64;s;t;p;t;d;c;p;7.21;13.63;;;p;;;t;f;;d;a
p;2.65;f;y;o;f;d;;y;3.11;5.07;;;o;;;f;f;;m;a
p;2.91;x;k;n;f;s;;p;3.8;2.64;;;n;;;f;f;p;g;a
e;4.72;b;g;g;f;a;d;g;5.18;3.75;;s;n;;;f;f;;d;s
e;3.59;x;;y;f;a;c;o;3.8;8.22;;;w;;;f;f;;d;a
e;7.12;x;h;n;f;p;d;y;6.47;12.11;;s;n;;;f;f;;h;u
p;5.17;b;s;n;f;;;w;9.76;12.46;;s;w;;;t;z;;g;s
e;17.64;p;t;n;f;p;;y;17.12;81.01;;;n;;;f;f;;d;a
e;7.47;f;h;k;f;s;d;w;6.31;10.66;;s;g;;;f;f;;d;a
p;6.7;o;t;r;f;;c;o;1.2;12.66;;;n;;;f;f;;d;a
e;8.66;f;s;w;f;e;c;w;11.44;11.1;;s;w;;;t;e;;d;s
p;2.11;b;g;w;f;;c;n;5.89;3.0;;;n;;;f;f;;d;u
p;8.22;x;g;n;f;e;;w;8.36;15.0;;y;w;u;w;t;p;;d;u
e;56.24;o;y;y;f;p;;y;6.26;28.91;;k;n;;;f;f;;d;u
e;4.11;f;g;g;f;a;d;g;5.6;3.21;;s;g;;;f;f;;d;u
e;11.89;f;s;w;f;e;c;w;22.08;12.31;;s;w;;;t;e;;u;s
p;3.18;o;;k;f;f;f;f;3.79;15.45;;g;g;;;f;f;;d;a
p;3.59;f;;p;f;x;;w;6.05;6.57;;;w;;;f;f;;d;a
p;13.63;x;s;g;f;s;;y;8.47;18.64;;i;n;;;f;f;;d;u
p;5.37;x;d;n;f;a;c;y;6.11;6.63;;i;y;;;t;;;d;u
p;6.99;x;t;e;f;x;d;w;5.27;16.15;b;;w;;;f;f;;d;a
e;3.27;b;y;n;f;;c;k;6.89;3.47;;;w;;;f;f;;d;w
p;8.11;f;y;y;f;s;c;y;7.56;16.94;;y;y;;;f;f;;d;a
e;5.44;s;;n;f;d;c;w;3.84;7.1;;s;w;;;f;f;;l;u
p;5.58;o;;w;f;f;f;f;5.48;29.02;;g;w;;;t;f;;p;u
p;11.87;x;;g;f;e;;w;11.32;16.4;;;w;u;w;t;g;;d;u
e;6.58;x;t;n;f;e;;w;12.43;12.68;;s;n;u;w;f;f;;d;u
e;2.96;x;;y;f;a;c;y;3.37;8.76;;;w;;;f;f;;d;u
e;3.49;b;g;w;f;x;d;w;4.33;2.69;;;y;;;f;f;;g;u
p;0.84;x;;o;f;d;;o;4.43;1.06;;;y;;;f;f;w;g;u
p;4.66;x;;p;f;;c;g;3.8;12.79;;;y;;;f;f;;d;a
p;6.72;s;t;r;t;d;;w;4.35;12.45;;t;g;;;f;f;;d;a
p;5.56;x;e;e;f;a;;n;8.51;11.4;;;e;;w;t;z;;d;a
e;3.32;s;d;n;t;d;c;p;4.54;5.98;;;n;;;f;f;;d;u
e;4.57;x;;w;f;d;;r;6.8;7.39;;;w;;;f;f;;l;u
p;7.19;x;e;e;f;a;;n;9.16;10.38;;;e;;w;t;z;;d;a
p;13.35;x;h;n;t;p;;y;9.5;31.49;c;;y;;;f;f;;d;a
p;3.2;s;w;u;f;a;c;g;5.0;4.71;;s;u;;;f;f;;l;a
e;3.68;b;g;w;f;x;d;w;5.33;3.41;;;y;;;f;f;;g;a
e;6.4;c;h;n;f;e;;w;12.26;12.22;;s;n;u;w;f;f;;d;a
p;0.69;x;g;e;f;a;;n;4.06;0.91;;h;k;;;f;f;;d;s
p;7.85;b;t;w;f;e;c;w;12.41;13.16;;y;w;u;w;t;l;;d;a
e;4.94;x;s;n;f;p;;n;6.99;11.92;;;e;;;f;f;;d;u
p;0.73;x;g;e;f;a;;p;4.44;1.08;;h;k;;;f;f;;d;s
p;3.3;b;y;e;f;e;c;w;4.44;3.43;;k;w;;;t;e;;d;a
p;3.08;x;y;y;f;a;;w;5.09;3.24;;y;n;;;t;r;;h;a
e;10.15;x;t;n;f;p;d;y;8.61;13.07;;s;n;;;f;f;;g;a
p;5.69;f;d;e;t;d;c;w;5.91;8.95;;;e;;;f;f;;d;u
p;19.58;f;k;w;t;d;d;w;7.32;33.26;;;w;;;f;f;;d;w
p;6.17;s;d;e;t;d;c;y;5.46;7.05;;;e;;;f;f;;d;u
p;7.71;f;y;u;f;s;c;y;7.67;16.54;;y;y;;;f;f;;d;a
e;1.4;c;g;n;f;a;;g;4.84;1.53;;;g;;;f;f;;l;u
p;4.7;b;s;y;f;;c;r;8.45;7.27;;;y;u;w;t;z;k;d;u
p;3.62;x;i;e;f;;;e;4.29;4.79;;;e;;;f;f;n;d;a
e;18.93;p;d;n;f;p;;n;14.65;32.32;s;y;w;;;f;f;;d;u
e;4.76;x;d;y;t;p;;y;6.11;13.34;;;y;;;f;f;;d;u
p;7.55;f;;r;f;x;c;y;6.92;12.64;;;w;;;f;f;;d;a
p;3.72;f;d;b;f;x;c;w;5.09;3.14;b;s;n;;;f;f;;d;u
p;17.7;x;d;e;f;p;;y;5.24;34.34;;;n;;;f;f;;d;a
e;10.14;s;;w;t;d;c;y;5.19;23.04;;;w;;;f;f;;d;u
p;0.74;x;g;n;f;a;;n;3.63;0.93;;h;k;;;f;f;;d;u
e;5.24;x;;w;f;e;;w;5.81;12.54;b;;y;u;w;t;g;;d;u
